Item,Phase,Internal_DIY_GBP,Freelancer_UK_GBP,Agency_UK_GBP,Tools_Software_GBP,Ongoing_Monthly_GBP,Time_Estimate,Priority,Expected_Impact
Strip fabricated testimonials and unverified claims,Quick,0,150-300,500-1000,0,0,4 hours,P0,Trust + E-E-A-T critical
Verify Google Search Console + Bing Webmaster + submit sitemap,Quick,0,50-100,200-400,0,0,1 hour,P0,Required for measurement
Migrate 3 Google Fonts to next/font/google,Quick,0,350-600,800-1500,0,0,1 day,P1,LCP +100-400ms; PageSpeed score +5-15
Wire FAQPageJsonLd to 6 audience pages,Quick,0,300-600,800-1500,0,0,1 day,P1,Rich-result eligibility; CTR +10-30%
Rewrite 8 audience-page H1s + titles for query intent,Quick,0,300-600,800-1500,0,0,1 day,P1,Per-page ranking lift +5-15%
Build EmailCaptureCard component + API route + Supabase table,Quick,200,800-1500,2500-4000,0,0,2 days,P1,Email list compounding asset
Run PageSpeed Insights baseline against 5 priority URLs,Quick,0,50-100,150-300,0,0,30 minutes,P1,Required baseline for measurement
Add per-page metadata to top 50 leaf pages,Quick,500,1000-2000,3000-5000,0,0,2-3 days,P2,Snippet quality + CTR +10-25%
Add Google Site Verification meta tag,Quick,0,50,150,0,0,5 minutes,P2,Required
Document conversion event taxonomy,Quick,0,200-400,600-1200,0,0,0.5 day,P2,Measurement integrity
Add ContactPoint schema to /contact,Quick,0,50-150,250-500,0,0,30 minutes,P3,Minor rich-result eligibility
Add 404 page improvements,Quick,0,150-300,500-1000,0,0,1 hour,P3,UX improvement
Add security headers (X-Content-Type-Options X-Frame-Options),Quick,0,100-200,300-600,0,0,30 minutes,P3,Security grade A; mild SEO
Sitemap content audit (35 IGCSE Lang A texts vs 10 listed),Quick,0,200-400,600-1200,0,0,0.5 day,P2,Crawl-budget integrity
Build /blog architecture + first 12 launch posts (DIY content),Short,2000-4000,6000-12000,15000-30000,0,0,5-7 weeks,P1,Highest-leverage SEO investment
Build /blog architecture + first 12 launch posts (freelancer content),Short,500,8000-15000,20000-40000,0,0,5 weeks,P1,Same
Build first 10 PDF lead magnets (DIY content + design),Short,1000-2000,4000-8000,12000-25000,0,0,4 weeks,P1,Email list + backlink-worthy
Build first 30 PDF lead magnets (DIY for 20, freelancer for 10),Short,1500-3000,6000-15000,20000-40000,50,0,8 weeks,P1,Same
Build 6 board-comparison pages,Short,1000-2000,3000-6000,8000-15000,0,0,2-3 weeks,P1,Mid-funnel conversion
Add Article + LearningResource + HowTo schema components + integrate,Short,0-500,1200-2500,3500-6000,0,0,4-5 days,P2,Rich-result eligibility 100+ pages
EdTech Impact directory listing + first 10 reviews,Short,0,0,500-1000 (PR coordination),0,0,Spread over 4-8 weeks,P2,Star ratings + B2B trust
Add Course schema to per-board hubs (5 pages),Short,0,200-500,600-1200,0,0,1 day,P2,Education-search rich results
