Text Title,Author,Exact Quote,Start Position,Technique Tags,Source Reference,Verification Status
Ozymandias,Shelley,"I met a traveller from an antique land,",Line 1,First person framing; distancing,Project Gutenberg (PD),Verified
Ozymandias,Shelley,"Look on my Works, ye Mighty, and despair!",Line 11,Hubris; irony -- NOTE: 'Look ON' not 'Look UPON',Project Gutenberg (PD),Verified
Ozymandias,Shelley,"Nothing beside remains. Round the decay / Of that colossal Wreck, boundless and bare",Lines 12-13,Sibilance; irony; decay,Project Gutenberg (PD),Verified
Exposure,Owen,"Our brains ache, in the merciless iced east winds that knive us...",Line 1,Sensory; personification -- 'knive' is CORRECT spelling,Wikisource (PD),Verified
Exposure,Owen,But nothing happens.,Line 8 (refrain),Repetition; bathos; futility,Wikisource (PD),Verified
Charge of the Light Brigade,Tennyson,"Theirs not to reason why, / Theirs but to do and die:",Lines 14-15,Anaphora -- NOTE: 'reason why' not 'question why',Project Gutenberg (PD),Verified
Charge of the Light Brigade,Tennyson,"Half a league, half a league, / Half a league onward,",Lines 1-2,Anapaestic rhythm; repetition,Project Gutenberg (PD),Verified
London,Blake,"I wander thro' each charter'd street,",Line 1,'Charter'd' -- ambiguity; alienation,Project Gutenberg (PD),Verified
London,Blake,The mind-forg'd manacles I hear.,Line 8,Metaphor; psychological oppression,Project Gutenberg (PD),Verified
Macbeth,Shakespeare,"Stars, hide your fires; / Let not light see my black and deep desires.",Act 1 Scene 4,Apostrophe; ambition; soliloquy,Folger Shakespeare Library (PD),Verified
Macbeth,Shakespeare,Will all great Neptune's ocean wash this blood / Clean from my hand?,Act 2 Scene 2,Hyperbole; guilt; blood imagery,Folger Shakespeare Library (PD),Verified
Macbeth,Shakespeare,"Out, out, brief candle! / Life's but a walking shadow",Act 5 Scene 5,Metaphor; nihilism,Folger Shakespeare Library (PD),Verified
A Christmas Carol,Dickens,Bah! Humbug!,Stave 1,Characterisation; dismissal,Project Gutenberg (PD),Verified
A Christmas Carol,Dickens,Are there no prisons? Are there no workhouses?,Stave 1,Rhetoric; irony; Poor Laws critique,Project Gutenberg (PD),Verified
A Christmas Carol,Dickens,"I will honour Christmas in my heart, and try to keep it all the year.",Stave 4,Transformation; social message,Project Gutenberg (PD),Verified
The Prelude,Wordsworth,It was an act of stealth / And troubled pleasure,Lines 5-6,Oxymoron; guilt,LitCharts / Poetry by Heart (PD),Verified
The Prelude,Wordsworth,"a huge peak, black and huge, / As if with voluntary power instinct, / Upreared its head.",Lines 22-24,Repetition; personification; nature as threat,LitCharts (PD),Verified
The Prelude,Wordsworth,Strode after me.,Line 29,Personification; short sentence,Poetry by Heart (PD),Verified
The Prelude,Wordsworth,dim and undetermined sense / Of unknown modes of being,Lines 37-38,Psychological disturbance; Romantic sublime,LitCharts (PD),Verified
Drummer Hodge,Hardy,"They throw in Drummer Hodge, to rest / Uncoffined -- just as found:",Stanza 1 Lines 1-2,Shocking verb; undignified burial,Project Gutenberg (PD),Verified
Drummer Hodge,Hardy,His stars eternally.,Stanza 3 final words,Transformation; foreign stars become 'his',Project Gutenberg (PD),Verified
Cousin Kate,Rossetti,"He wore me like a silken knot, / He changed me like a glove;",Stanza 2 Lines 5-6,Simile; objectification,Project Gutenberg (PD),Verified
Cousin Kate,Rossetti,I would have spit into his face / And not have taken his hand.,Stanza 5 Lines 7-8,Defiance; raw language,Project Gutenberg (PD),Verified
Cousin Kate,Rossetti,Yet I've a gift you have not got,Stanza 6 Line 1,Volta; power reclaimed,Project Gutenberg (PD),Verified
Walking Away,C. Day-Lewis,"Like a winged seed loosened from its parent stem,",Stanza 3,Simile; natural imagery,BBC Bitesize (estate-licensed -- restricted),Verified
Walking Away,C. Day-Lewis,And love is proved in the letting go.,Final line,Paradox; philosophical resolution,BBC Bitesize (estate-licensed -- restricted),Verified
Eden Rock,Causley,They are waiting for me somewhere beyond Eden Rock:,Line 1,Present tense; ambiguity,Poetry Archive (estate-licensed -- restricted),Verified
Eden Rock,Causley,I had not thought that it would be like this.,Final line,Understated ending; ambiguity,Poetry Archive (estate-licensed -- restricted),Verified
Tissue,Dharker,"Paper that lets the light / shine through, this / is what could alter things.",Stanza 1 Lines 1-3,Extended metaphor; light=hope,Revision World (restricted),Verified
Tissue,Dharker,turned into your skin.,Final line (isolated single line),Volta; paper becomes human body,Revision World (restricted),Verified
Bayonet Charge,Ted Hughes,etcetera,Stanza 3,Bathos; dismissal of patriotism,Faber 1957 (The Hawk in the Rain),Verified -- single 'etcetera' canonical (Faber 1957); do not abbreviate to 'etc.' and do not double the word
Checking Out Me History,Agard,Dem tell me / Dem tell me / Wha dem want to tell me,Opening lines,Anaphora; Caribbean dialect,PMT / BBC Bitesize (restricted),Verified
Checking Out Me History,Agard,I carving out me identity,Final stanza,Shift to 'I'; reclamation,PMT / BBC Bitesize (restricted),Verified
The Emigree,Rumens,There once was a country... I left it as a child,Opening lines,Fairy-tale register; distancing,LitCharts (restricted),Verified
An Inspector Calls,Priestley,We are members of one body. We are responsible for each other.,Act 3,Socialism; collective responsibility,BBC Bitesize (restricted),Verified
Frankenstein,M. Shelley,FLAG: 'It's alive!' does NOT appear in the novel -- film only,N/A,VERIFICATION FLAG,Verified absent,Verified absent -- do not use this quote
