Cluster,Audience,Intent,Funnel_Stage,Demand_Band_Estimate,Difficulty_Estimate,Commercial_Value,Suggested_Page,Current_Page_Match,Content_Type,Priority,Recommended_Action
gcse english revision,Students+Parents,Informational,Awareness-Consideration,High,High,High,/,/ exists,Hub page,P0,Rewrite homepage H1 to include "GCSE English revision" verbatim
igcse english revision,Students+Parents,Informational,Awareness-Consideration,Medium-High,Medium,High,/igcse,/igcse exists,Hub page,P0,Rewrite H1 to "IGCSE English revision — Pearson Edexcel and Cambridge specs covered"
gcse english language revision,Students,Informational,Consideration,High,High,High,/resources/english-language,/resources/english-language exists,Hub page,P1,Add 1500-word intro + Article schema
gcse english literature revision,Students,Informational,Consideration,High,High,High,/resources/english-literature,/resources/english-literature exists,Hub page,P1,Same
aqa english revision,Students,Informational,Consideration,High,Medium,High,/revision (with aqa cookie) or new /aqa-english-revision,/revision dispatches by cookie,Hub page,P1,Consider a public /aqa-english-revision landing page that doesn't require a cookie
aqa power and conflict revision,Students,Informational,Consideration,Medium,Medium,High,/revision/poetry/power-and-conflict,exists,Cluster page,P1,Already strong; add Article + LearningResource schema
aqa love and relationships revision,Students,Informational,Consideration,Medium,Medium,High,/revision/poetry/love-and-relationships,exists,Cluster page,P1,Same
edexcel english revision,Students,Informational,Consideration,Medium,Medium,High,/revision (edexcel cookie) or new /edexcel-english-revision,partial,Hub page,P1,Add public landing page
ocr english revision,Students,Informational,Consideration,Medium,Medium,Medium,/revision (ocr cookie),partial,Hub page,P2,Same
eduqas english revision,Students,Informational,Consideration,Low-Medium,Medium,Medium,/revision (eduqas cookie),partial,Hub page,P2,Same
wjec english revision,Students,Informational,Consideration,Low-Medium,Medium,Medium,/revision (eduqas) or new /wjec-english-revision,partial,Hub page,P2,Address WJEC-vs-Eduqas naming confusion in copy
cambridge igcse english revision,Students,Informational,Consideration,Medium,Medium,High,/igcse/cambridge,exists,Hub page,P1,Add Course schema for both 0500 and 0990
